judet,NUTS_ID,an,temperatura_medie_anuala_C,precipitatii_anuale_mm,judet_std,schimbare_temp_anuala_C,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct
Călăraşi,RO312,2019,13.58575790229885,468.48038545319406,Calarasi,1.0215797862787355,-141.98646651431062,-23.25866933752344
Călăraşi,RO312,2020,13.863042721803161,507.2345697090201,Calarasi,0.2772848195043114,38.75418425582603,8.272317360381344
Călăraşi,RO312,2021,12.391367243624282,734.4817381932818,Calarasi,-1.471675478178879,227.2471684842617,44.801198903817664
Călăraşi,RO312,2022,13.458709366020114,289.9939558863554,Calarasi,1.0673421223958321,-444.48778230692636,-60.51719997835503
Călăraşi,RO312,2023,14.365568314475574,303.0018543776596,Calarasi,0.9068589484554597,13.00789849130416,4.485575725723678
Călăraşi,RO312,2024,14.53442523123204,466.88941569412236,Calarasi,0.1688569167564662,163.88756131646278,54.087973043291804
Dolj,RO411,2012,12.972580096043577,589.1845246305979,Dolj,1.0866184059633017,144.41990989583343,32.47108810172732
Dolj,RO411,2013,12.81295020427179,661.9316706875459,Dolj,-0.15962989177178777,72.74714605694794,12.347090430210873
Dolj,RO411,2014,12.21788990825688,998.773185932855,Dolj,-0.5950602960149087,336.8415152453091,50.88765656059833
Dolj,RO411,2015,13.161549419438073,658.0883157743364,Dolj,0.9436595111811918,-340.6848701585186,-34.11033405350371
Dolj,RO411,2016,12.727789922591743,763.8752352070371,Dolj,-0.43375949684632964,105.78691943270076,16.07488188089574
Dolj,RO411,2017,12.642165997706423,677.5830618044652,Dolj,-0.08562392488532033,-86.29217340257196,-11.29663188769089
Dolj,RO411,2018,12.720974143491972,735.9938971151453,Dolj,0.0788081457855494,58.41083531068011,8.620468633782963
Dolj,RO411,2019,13.745851849197248,590.7833968138476,Dolj,1.0248777057052756,-145.21050030129766,-19.729851140135157
Dolj,RO411,2020,13.56747576512328,609.2989473471401,Dolj,-0.17837608407396743,18.515550533292526,3.1340675166480203
Dolj,RO411,2021,12.759429651662844,685.4523403732055,Dolj,-0.8080461134604366,76.15339302606537,12.498526931259901
Dolj,RO411,2022,13.504768581565367,478.55524715808554,Dolj,0.7453389299025233,-206.89709321511998,-30.18402316672688
Dolj,RO411,2023,14.053392882740825,328.836302654288,Dolj,0.5486243011754581,-149.71894450379756,-31.28561339425446
Dolj,RO411,2024,14.90011736668578,521.7222646730482,Dolj,0.8467244839449553,192.88596201876027,58.65713744554082
Dâmboviţa,RO313,2012,10.41187054177989,788.3639469345411,Dambovita,0.8812379698822461,149.72553788708603,23.44449312254886
Dâmboviţa,RO313,2013,10.426982492640398,777.4772123072458,Dambovita,0.015111950860507761,-10.886734627295255,-1.3809275106538066
Dâmboviţa,RO313,2014,10.30304485818614,1028.5125612011855,Dambovita,-0.12393763445425776,251.0353488939396,32.28845102083
Dâmboviţa,RO313,2015,10.787939983865488,769.395246943378,Dambovita,0.48489512567934767,-259.1173142578075,-25.193402981407242
Dâmboviţa,RO313,2016,10.308967037477355,874.4625488960224,Dambovita,-0.4789729463881329,105.06730195264447,13.655829350395866
