judet,an,ocupati_aff_eurostat_mii,ocupati_total_eurostat_mii,ocupati_aff_eurostat_nr,ocupati_total_eurostat_nr,pondere_ocupati_aff_eurostat,schimbare_pondere_ocupati_aff_eurostat,schimbare_ocupati_aff_eurostat_pct
Caras-Severin,2015,12.16,79.58,12160.0,79580.0,15.280221161095753,-13.004258577313681,-49.793559042113955
Caras-Severin,2016,9.59,75.11,9590.0,75110.0,12.76794035414725,-2.512280806948503,-21.134868421052634
Caras-Severin,2017,9.72,75.65,9720.0,75650.0,12.84864507600793,0.08070472186068045,1.355578727841511
Caras-Severin,2018,8.16,73.18,8160.0,73180.0,11.150587592238317,-1.6980574837696132,-16.049382716049386
Caras-Severin,2019,7.76,71.32,7760.0,71320.0,10.880538418395963,-0.27004917384235405,-4.90196078431373
Caras-Severin,2020,8.61,71.1,8610.0,71100.0,12.109704641350211,1.2291662229542482,10.953608247422686
Caras-Severin,2021,11.77,72.76,11770.0,72760.0,16.176470588235293,4.0667659468850825,36.70150987224159
Caras-Severin,2022,10.65,73.44,10650.0,73440.0,14.501633986928105,-1.674836601307188,-9.515717926932876
Cluj,2012,54.66,308.58,54660.0,308580.0,17.7133968500875,,
Cluj,2013,51.64,304.69,51640.0,304690.0,16.94837375693328,-0.7650230931542197,-5.525064032199046
Cluj,2014,43.07,315.76,43070.0,315760.0,13.640106409931594,-3.308267347001685,-16.595662277304413
Cluj,2015,37.64,327.65,37640.0,327650.0,11.487868151991455,-2.152238257940139,-12.607383329463662
Cluj,2016,33.17,326.5,33170.0,326500.0,10.159264931087291,-1.3286032209041636,-11.875664187035074
Cluj,2017,36.86,342.4,36860.0,342400.0,10.76518691588785,0.6059219848005597,11.124510099487495
Cluj,2018,33.32,345.75,33320.0,345750.0,9.637020968908171,-1.1281659469796796,-9.603906673901253
Cluj,2019,30.3,347.69,30300.0,347690.0,8.714659610572637,-0.9223613583355341,-9.06362545018007
Cluj,2020,30.59,348.29,30590.0,348290.0,8.782910792730195,0.06825118215755843,0.9570957095709653
Cluj,2021,32.74,359.06,32740.000000000004,359060.0,9.11825321673258,0.3353424240023841,7.028440666884617
Cluj,2022,31.2,356.96,31200.0,356960.0,8.740475123263112,-0.3777780934694679,-4.7037263286499815
Constanta,2012,77.66,297.48,77660.0,297480.0,26.10595670297163,,
Constanta,2013,71.15,293.83,71150.0,293830.0,24.21468195895586,-1.8912747440157673,-8.382693793458662
Constanta,2014,49.5,270.38,49500.0,270380.0,18.307567127746136,-5.907114831209725,-30.428671820098387
Constanta,2015,55.8,291.2,55800.0,291200.0,19.162087912087912,0.8545207843417764,12.72727272727272
Constanta,2016,45.16,286.66,45160.0,286660.0,15.753854740807924,-3.4082331712799885,-19.068100358422935
Constanta,2017,45.47,288.78,45470.0,288780.0,15.745550245861903,-0.008304494946020924,0.6864481842338455
Constanta,2018,47.26,290.53,47260.0,290530.0,16.266822703335286,0.5212724574733834,3.9366615350780787
Constanta,2019,43.18,292.66,43180.0,292660.0,14.75432242192305,-1.5125002814122368,-8.633093525179858
