an,judet,emig_masc_nr,emig_fem_nr,emigranti_total_nr,emig_15_64_nr,imig_masc_nr,imig_fem_nr,imigranti_total_nr,imigranti_15_64_nr,populatie_15_64,populatie_rurala,populatie_totala,pondere_rurala,rata_emig_def,rata_imig_def,rata_emig_15_64,rata_imig_15_64,intensitate_migratie,sup_grau_ha,sup_orz_orzoaica_ha,sup_porumb_boabe_ha,sup_floarea_soarelui_ha,sup_rapita_ha,sup_soia_boabe_ha,sup_totala_cultivata_ha,pondere_grau,pondere_orz_orzoaica,pondere_porumb_boabe,pondere_floarea_soarelui,pondere_rapita,pondere_soia_boabe,prod_grau_tone,prod_orz_orzoaica_tone,prod_porumb_boabe_tone,prod_floarea_soarelui_tone,prod_rapita_tone,prod_soia_boabe_tone,yield_grau,yield_orz_orzoaica,yield_porumb_boabe,yield_floarea_soarelui,yield_rapita,yield_soia_boabe,ocupati_total_nr,ocupati_agri_nr,pondere_ocupati_agri,tractoare_nr,pluguri_nr,semanatori_mecanice_nr,masini_stropit_prafuit_mecanice_nr,combine_cereale_nr,tractoare_1000ha,pluguri_1000ha,semanatori_1000ha,masini_stropit_1000ha,combine_1000ha,z_tractoare_1000ha,z_pluguri_1000ha,z_semanatori_1000ha,z_combine_1000ha,indice_mecanizare_vechi,indice_mecanizare_nou,temperatura_medie_anuala_C,schimbare_temp_anuala_C,precipitatii_anuale_mm,schimbare_precipitatii_anuala_mm,schimbare_precipitatii_anuala_pct
2021,Buzau,182,236,418,356,64,68,132,116,253949,249069,403975,61.65455783,1.034717495,0.326752893,1.401856278,0.45678463,1.361470388,62762,12088,110486,49390,16583,1703,253012,24.80593806,4.777639005,43.66828451,19.52081324,6.554234582,0.673090604,315402,47359,663972,123497,45234,4680,5.025365667,3.917852416,6.009557772,2.500445434,2.727733221,2.748091603,133800,25700,19.2077728,3108,3315,1028,164,495,12.28400234,13.10214535,4.063048393,0.6481906,1.956428944,-0.686239405,-0.697076886,-1.171681426,-0.920285893,-0.868820902,-1.039183685,10.45716903,-1.494462117,722.7630969,112.9279782,18.51778862
2022,Buzau,277,308,585,487,60,69,129,116,252994,247969,402417,61.61991168,1.453715922,0.320562998,1.924946837,0.458508897,1.77427892,60594,10178,101365,40729,16130,965,229961,26.34968538,4.425967882,44.07921343,17.71126408,7.014232848,0.419636373,109153,22579,25574,48134,32390,2675,1.801382975,2.218412262,0.252296157,1.181811486,2.008059516,2.772020725,137700,26300,19.09949165,3243,3269,1089,225,571,14.10239128,14.21545392,4.735585599,0.978426777,2.483029731,-0.663922359,-0.675054355,-1.108640417,-0.79790321,-0.811380085,-0.91180298,11.58931921,1.132150178,383.5693165,-339.1937804,-46.93014652
2012,Calarasi,36,71,107,88,15,13,28,23,197102,194766,304880,63.88283915,0.350957754,0.091839412,0.446469341,0.11669085,0.442797166,137505,35562,124097,72274,13074,6685,389197,35.33043677,9.137274953,31.8853948,18.57003009,3.359224249,1.717639139,395796,107604,404313,126409,16734,14811,2.878411694,3.025814071,3.258040082,1.749024545,1.279944929,2.215557218,100900,50700,50.24777007,4164,2169,2025,174,798,10.69895194,5.573013153,5.203020578,0.447074361,2.050375517,-0.705692693,-0.846011824,-1.064824889,-0.898452591,-0.878745499,-1.043419095,12.68142034,1.121582031,685.422064,180.908732,35.85806766
2012,Caras-Severin,125,194,319,233,25,9,34,28,199297,134726,293275,45.93845367,1.087716307,0.115932146,1.16910942,0.140493836,1.203648453,12096,545,36044,7170,71,0,55926,21.62858062,0.974502021,64.44945106,12.82051282,0.126953474,0,33182,1414,107718,11857,57,0,2.743220899,2.594495413,2.988514038,1.653695955,0.802816901,,115100,43200,37.53258036,6170,4260,896,77,358,110.3243572,76.17208454,16.02117083,1.376819368,6.401316025,0.517007629,0.550519418,-0.050773771,0.112711438,0.282366178,0.556988794,9.829625802,0.583198015,917.5442355,247.5682482,36.95180916
2013,Calarasi,68,84,152,121,16,16,32,26,196074,193551,302655,63.95103335,0.502222002,0.105730948,0.617113947,0.132602997,0.60795295,121079,43209,105521,59114,46859,6638,382420,31.66126249,11.29883374,27.59296062,15.45787354,12.25328173,1.735787877,556005,194883,662008,141098,140096,16114,4.592084507,4.510240922,6.273708551,2.386879589,2.989735163,2.427538415,98800,48200,48.7854251,4965,4051,2811,143,1026,12.98310758,10.59306522,7.350556979,0.373934418,2.682914074,-0.677659303,-0.746709391,-0.863523221,-0.751449838,-0.759835438,-0.773503139,13.09308773,0.411667396,601.9171146,-83.50494941,-12.18299699
2013,Caras-Severin,170,211,381,303,36,26,62,47,196953,133987,290484,46.12543204,1.311604081,0.213436885,1.538438105,0.238635614,1.525040966,12736,598,30601,6726,392,0,51053,24.9466241,1.171331753,59.93967054,13.1745441,0.767829511,0,37906,1663,111076,11517,384,0,2.976287688,2.780936455,3.629816019,1.712310437,0.979591837,,112200,41200,36.7201426,5841,4225,891,77,332,114.4105146,82.75713474,17.45245137,1.508236538,6.503045854,0.567156945,0.680779323,0.083388872,0.136353577,0.366919679,0.71627506,9.938747199,0.109121397,1066.960893,149.4166572,16.28440912
2014,Calarasi,50,82,132,114,11,26,37,30,194011,191862,300094,63.93396736,0.439862177,0.123294701,0.587595549,0.154630408,0.563156878,119109,48856,95164,45125,56962,7714,372930,31.93870163,13.10058188,25.51792562,12.10012603,15.27418014,2.068484702,504459,197272,616521,109410,156822,24659,4.235271894,4.037825446,6.478510781,2.424598338,2.753098557,3.196655432,95800,46200,48.22546973,5009,4093,2836,158,1056,13.43147508,10.97525005,7.604644303,0.423672003,2.831630601,-0.672156499,-0.739149333,-0.839706069,-0.71688793,-0.741974958,-0.729005953,12.37410622,-0.718981513,866.1314655,264.2143509,43.89547074
2014,Caras-Severin,131,162,293,254,38,40,78,67,194126,132682,287657,46.12507257,1.018574205,0.271156273,1.308428546,0.345136664,1.289730478,13896,1002,27178,5824,902,0,48802,28.47424286,2.053194541,55.69034056,11.93393713,1.848284906,0,45977,2795,104738,8559,1168,0,3.308649971,2.789421158,3.853778792,1.469608516,1.294900222,,112100,40300,35.9500446,5830,4225,889,77,329,119.4623171,86.57432072,18.21646654,1.577804188,6.741526987,0.629157602,0.756287674,0.155004668,0.191776892,0.433056709,0.790592966,10.22641488,0.287667681,1188.065857,121.1049646,11.35045956
2015,Calarasi,83,84,167,149,19,25,44,38,191163,189937,297244,63.89935541,0.561827993,0.148026537,0.779439536,0.198783237,0.70985453,120803,36361,109463,39527,47896,16753,370803,32.57875476,9.806015593,29.52052707,10.65983824,12.91683185,4.518032486,618397,185239,584339,95973,138587,40306,5.119053335,5.094441847,5.33823301,2.428036532,2.893498413,2.405897451,91800,40900,44.55337691,5100,4122,2880,186,1081,13.75393403,11.11641492,7.766927452,0.501614065,2.915294644,-0.668198967,-0.736356929,-0.824494281,-0.697444302,-0.73162362,-0.707075828,12.94092358,0.56681736,640.1474824,-225.9839831,-26.09118732
2015,Caras-Severin,159,200,359,298,108,102,210,184,190663,131480,284443,46.22367223,1.262115784,0.738284999,1.56296712,0.965053524,2.000400783,13098,655,26231,7251,2417,2141,51793,25.28913174,1.264649663,50.64584017,13.99996138,4.666653795,4.13376325,36640,1892,68062,9385,3029,1665,2.797373645,2.888549618,2.594716176,1.294304234,1.253206454,0.777673984,112400,34900,31.04982206,5837,4226,889,77,329,112.6986272,81.5940378,17.16448169,1.48668739,6.352209758,0.54614699,0.657771921,0.05639572,0.101299079,0.340403428,0.721492989,10.38477698,0.1583621,865.4865677,-322.5792897,-27.1516337
2016,Calarasi,74,125,199,181,35,36,71,64,188318,188159,294278,63.93920035,0.676231319,0.24126846,0.961140199,0.339850678,0.917499779,121533,38469,100669,36528,55077,16700,368976,32.93791466,10.42588136,27.28334634,9.899830883,14.92698712,4.526039634,613625,183652,522785,97921,181163,43388,5.049040178,4.774025839,5.193108107,2.680710688,3.289267752,2.598083832,86800,35600,41.01382488,5223,4153,2926,191,1059,14.15539222,11.25547461,7.930055071,0.517648844,2.870105373,-0.66327188,-0.733606168,-0.809203335,-0.707946345,-0.728506932,-0.713226294,12.64776962,-0.29315396,662.0693624,21.92187996,3.424504597
2016,Caras-Severin,223,285,508,438,48,58,106,85,187094,130773,280891,46.55649344,1.808530711,0.377370581,2.341069195,0.454317081,2.185901293,14740,587,28100,6673,3643,1101,54844,26.87623076,1.070308511,51.23623368,12.16723798,6.642476843,2.007512216,58609,2140,119007,15856,11715,2828,3.976187246,3.645655877,4.235124555,2.376142664,3.215756245,2.568574024,108700,30000,27.59889604,7609,9752,3672,77,326,138.7389687,177.8134345,66.95354095,1.403982204,5.944132448,0.865739507,2.561102813,4.723427518,0.006461401,2.03918281,2.788630526,9.706586498,-0.678190483,1162.242463,296.7558949,34.2877528
2017,Calarasi,92,147,239,203,43,54,97,75,184891,185750,290560,63.92827643,0.822549559,0.333838106,1.097944194,0.405644407,1.156387665,128280,29720,92159,37530,68869,17228,373786,34.31910237,7.951073609,24.65555157,10.04050446,18.42471361,4.609054379,711818,167799,711259,108473,219456,54886,5.548939819,5.645995962,7.717737823,2.890301092,3.186571607,3.185860228,86500,35800,41.38728324,5262,4205,2988,192,1059,14.0775738,11.24975253,7.99387885,0.513662898,2.833171922,-0.664226944,-0.733719357,-0.803220744,-0.716529726,-0.729424193,-0.728513968,12.17805428,-0.469715338,656.8533901,-5.215972269,-0.787828673
2017,Caras-Severin,239,278,517,417,84,73,157,128,183452,129236,277185,46.62445659,1.865180295,0.566408716,2.273074156,0.697730196,2.431589011,14674,1526,22230,6244,4242,2482,51398,28.54974902,2.96898712,43.25071014,12.14833262,8.253239426,4.828981672,68746,6223,71260,9232,11014,3471,4.68488483,4.077981651,3.205578048,1.478539398,2.596416785,1.398468977,105400,30200,28.65275142,7661,8374,3677,77,327,149.0524923,162.9246274,71.53974863,1.498112767,6.362115257,0.992317146,2.266584998,5.153320699,0.10360113,2.128955993,3.221489576,9.806025542,0.099439044,776.7440804,-385.4983821,-33.16849922
2018,Calarasi,94,140,234,216,34,41,75,64,181615,182717,286321,63.81543792,0.817264539,0.261943762,1.189329075,0.3523938,1.079208301,127279,21684,102302,39037,68126,18751,377179,33.7449858,5.748994509,27.12293102,10.34972785,18.06198118,4.971379637,719600,155011,924439,146290,205987,54919,5.653721352,7.148634938,9.0363727,3.747470349,3.023618002,2.928857128,87000,36100,41.49425287,5280,4217,3013,192,1070,13.99865846,11.18036794,7.988249611,0.509042126,2.836849347,-0.66519547,-0.735091864,-0.803748407,-0.715675087,-0.729927707,-0.733061267,12.56417812,0.386123833,610.466852,-46.38653816,-7.061931757
2018,Caras-Severin,320,380,700,554,81,100,181,148,179878,126750,273309,46.37607982,2.561203619,0.662254079,3.079865242,0.822779884,3.223457698,18428,1040,20487,6340,6669,2171,55135,33.42341525,1.886279133,37.15788519,11.49904779,12.09576494,3.93760769,78005,5183,120209,13816,11059,5376,4.232960712,4.983653846,5.867574559,2.179179811,1.658269606,2.476278213,103300,30500,29.52565344,7661,7590,3677,77,327,138.9498504,137.6621021,66.69084973,1.39657205,5.930896889,0.868327653,1.766863045,4.69880387,0.003385441,1.834345002,2.760969456,10.31237036,0.506344817,1037.417729,260.6736482,33.55978562
2019,Calarasi,117,183,300,260,48,50,98,87,178609,179876,282541,63.66368067,1.061792802,0.346852315,1.455693722,0.487097515,1.408645117,122554,30576,127300,38562,39057,20400,378449,32.38322733,8.079292058,33.63729327,10.18948392,10.32028094,5.390422488,709792,169788,999394,107817,96165,66086,5.791667347,5.552982732,7.850699136,2.795939007,2.462170674,3.239509804,88100,35800,40.63564132,4964,3762,2820,188,1292,13.11669472,9.940573234,7.45146638,0.496764425,3.413934242,-0.676019791,-0.759616437,-0.854064368,-0.581559834,-0.717815108,-0.69558364,13.5857579,1.021579786,468.4803855,-141.9864665,-23.25866934
2019,Caras-Severin,265,368,633,509,98,87,185,147,177295,125287,270691,46.28413948,2.33845972,0.683436095,2.870921346,0.829126597,3.021895815,18858,1333,19310,4584,2116,2681,48882,38.5786179,2.726975165,39.50329365,9.377685037,4.328791784,5.484636472,82045,4067,97498,7793,5384,6422,4.350673454,3.051012753,5.049093734,1.70004363,2.54442344,2.39537486,103100,30300,29.38894277,7371,5267,923,65,236,150.7917025,107.7492738,18.88220613,1.329732826,4.82795303,1.013662433,1.175152723,0.217408495,-0.252940095,0.538320889,0.803267804,10.67171697,0.359346612,901.291744,-136.1259846,-13.12161735
2020,Calarasi,97,118,215,179,28,24,52,43,175913,178003,279402,63.70856329,0.769500576,0.186111767,1.017548447,0.244439012,0.955612344,128908,28671,120535,35771,31453,16454,361792,35.63041748,7.924719176,33.31610428,9.88717274,8.693669291,4.547917035,233158,75295,363682,62156,59831,27185,1.808716294,2.626172788,3.01723151,1.737608677,1.902235081,1.65218184,86400,34500,39.93055556,4994,3771,2828,190,1303,13.80351141,10.42311604,7.816646029,0.52516363,3.601516894,-0.667590505,-0.750071182,-0.819833856,-0.537965391,-0.693865233,-0.629152214,13.86304272,0.27728482,507.2345697,38.75418426,8.27231736
2020,Caras-Severin,220,265,485,390,50,49,99,78,174726,125675,268297,46.84174627,1.807698185,0.368994063,2.232066207,0.446413241,2.176692248,20454,682,16904,6170,4205,2208,50623,40.40455919,1.347213717,33.39193647,12.18813583,8.306500998,4.361653794,90236,2427,90551,13574,13041,6164,4.411655422,3.558651026,5.35677946,2.2,3.101307967,2.791666667,102300,29200,28.54349951,7697,4751,827,53,232,152.0455129,93.85062126,16.33644786,1.046954941,4.582897102,1.029050419,0.90022131,-0.021220934,-0.3098914,0.399539849,0.727985282,10.12308378,-0.548633191,1037.270787,135.9790433,15.08712847
2021,Calarasi,121,156,277,233,52,49,101,88,176993,179788,280141,64.17768195,0.988787789,0.360532732,1.316436243,0.497194804,1.349320521,124923,34504,124479,39995,45506,13211,382618,32.64953557,9.017871611,32.53349294,10.45298444,11.89332441,3.452791034,665414,166211,941407,108682,183386,37331,5.326593181,4.817151635,7.562777657,2.717389674,4.029930119,2.825751268,70500,18400,26.09929078,4999,3858,2990,192,1348,13.06525046,10.08316389,7.814582691,0.501805979,3.523096143,-0.676651165,-0.756795829,-0.820027265,-0.556190472,-0.702416183,-0.63450719,12.39136724,-1.471675478,734.4817382,227.2471685,44.8011989
2021,Caras-Severin,336,391,727,585,89,80,169,136,164332,121819,256554,47.48279115,2.833711421,0.658730716,3.559866611,0.827592922,3.492442137,14449,931,18577,3786,3856,2152,43751,33.02553085,2.127951361,42.46074375,8.653516491,8.813512834,4.918744714,66956,4620,81263,8269,10968,4435,4.633953907,4.962406015,4.374387684,2.184099313,2.84439834,2.060873606,88300,14900,16.87429219,7933,5566,946,41,319,181.3215698,127.2199493,21.62236292,0.937121437,7.291261914,1.388354797,1.560305192,0.474260081,0.319535978,0.935614012,1.594736348,9.525744534,-0.597339246,931.5078463,-105.762941,-10.19627105
2022,Calarasi,182,219,401,349,51,74,125,105,178501,181538,281325,64.52963654,1.425397672,0.444325958,1.955171119,0.588231999,1.869723629,121055,34753,125945,42707,49176,12827,386463,31.3238266,8.992581437,32.58914825,11.05073448,12.72463341,3.319075824,609747,173033,473217,108944,125669,22745,5.036941886,4.97893707,3.757330581,2.550963542,2.55549455,1.773212754,72700,18700,25.7221458,4996,3846,3009,198,1356,12.92749888,9.951793574,7.785997625,0.512338827,3.508744692,-0.678341787,-0.759394486,-0.822706717,-0.559525767,-0.704992189,-0.642288739,13.45870937,1.067342122,289.9939559,-444.4877823,-60.51719998
2022,Caras-Severin,435,545,980,796,108,119,227,187,154532,117029,245714,47.62813678,3.988376731,0.923838284,5.151036678,1.21010535,4.912215014,15049,1080,18717,2305,4594,1905,43650,34.47651775,2.474226804,42.87972509,5.280641466,10.52462772,4.364261168,64877,7797,65393,3593,15013,2690,4.311050568,7.219444444,3.493775712,1.558785249,3.267958206,1.412073491,90800,15300,16.85022026,7866,5330,1048,70,289,180.2061856,122.1076747,24.0091638,1.603665521,6.620847652,1.374665712,1.459178491,0.697989466,0.163730863,0.923891133,1.611864633,10.23352335,0.707778812,699.0743035,-232.4335428,-24.95239775
2012,Cluj,210,293,503,373,164,146,310,283,491678,233589,695584,33.58170976,0.723133367,0.445668676,0.758626581,0.575579953,1.168802043,9372,10576,37126,2123,664,881,60742,15.42919232,17.41134635,61.12080603,3.495110467,1.093148069,1.45039676,26988,22066,97817,3029,1073,1137,2.879641485,2.086422088,2.634730378,1.426754593,1.615963855,1.290578888,332800,74700,22.44591346,5120,4286,1389,65,661,84.29093543,70.56073228,22.86720885,1.070099766,10.88209147,0.197500039,0.439520383,0.590947073,1.154049269,0.595504191,0.740274229,8.573215181,0.364305344,769.6369899,102.5240579,15.36832115
2013,Cluj,208,293,501,391,158,160,318,277,492852,235210,698326,33.68197661,0.717429968,0.45537471,0.793341612,0.56203485,1.172804679,8914,11091,39268,2891,1058,595,63817,13.96806494,17.37938167,61.53219362,4.530140872,1.657865459,0.932353448,31878,29785,135371,6739,3100,827,3.576172313,2.685510775,3.447361719,2.331027326,2.930056711,1.389915966,337800,71100,21.04795737,5118,4286,1389,65,661,80.19806635,67.16078788,21.76536033,1.01853738,10.35774167,0.14726835,0.372265553,0.4876641,1.032189718,0.50984693,0.688154585,8.787399967,0.214184786,912.4049419,142.7679519,18.55003772
2014,Cluj,156,195,351,296,1115,1236,2351,2263,491550,237200,700090,33.88135811,0.50136411,3.358139668,0.602176788,4.603804293,3.859503778,9402,11827,43265,2253,1675,770,69192,13.5882761,17.09301653,62.52890508,3.256156781,2.420800092,1.112845416,38414,38250,218591,5604,5463,1715,4.085726441,3.234125307,5.052374899,2.4873502,3.261492537,2.227272727,343700,69100,20.10474251,5118,4286,1389,65,661,73.9680888,61.94357729,20.0745751,0.939414961,9.553127529,0.070807978,0.269063097,0.329176501,0.845196383,0.37856099,0.544980531,9.605052847,0.81765288,818.4206587,-93.98428316,-10.30072053
2015,Cluj,209,320,529,443,119,154,273,234,488764,239291,701215,34.12519698,0.754404854,0.389324244,0.906367899,0.478758665,1.143729099,9165,12349,40653,2199,1621,891,66878,13.70405814,18.46496606,60.78680583,3.288076797,2.423816502,1.332276683,39342,36975,132149,4752,4094,1571,4.292635025,2.994169568,3.250658008,2.160982265,2.525601481,1.76318743,345200,59900,17.35225956,5132,4286,1389,65,671,76.73674452,64.0868447,20.76916176,0.971919017,10.03319477,0.104787626,0.311459404,0.39428434,0.956764611,0.441823995,0.677274189,9.260444033,-0.344608813,844.0434516,25.62279285,3.130760762
2016,Cluj,302,422,724,604,218,167,385,322,486008,242065,702123,34.47615304,1.031158358,0.548336972,1.242777897,0.662540534,1.579495331,11257,12724,42765,3287,1772,1201,73006,15.41928061,17.42870449,58.5773772,4.502369668,2.427197765,1.645070268,44024,39641,199779,7583,4756,3225,3.910811051,3.115451116,4.671553841,2.306966839,2.683972912,2.685262281,352600,51400,14.57742484,5133,4286,1391,65,674,70.30928965,58.70750349,19.0532285,0.89033778,9.232117908,0.02590362,0.205049816,0.233439463,0.770593344,0.308746561,0.52398796,8.634456668,-0.625987365,1050.652271,206.6088199,24.47845778
2017,Cluj,348,435,783,626,281,270,551,475,483512,244830,703800,34.78687127,1.112531969,0.782892867,1.294693824,0.982395473,1.895424837,10745,12439,37739,2597,1071,2371,66962,16.04641438,18.5762074,56.35883038,3.878319047,1.599414593,3.540814193,47819,41018,192241,6748,2472,4336,4.450349,3.297531956,5.093961154,2.598382749,2.308123249,1.828764235,358400,51900,14.48102679,5259,4291,1568,65,689,78.53708073,64.08112064,23.41626594,0.9706998,10.28941788,0.126883111,0.311346175,0.642413538,1.016311183,0.524238502,0.755353356,8.652639744,0.018183075,781.9669157,-268.6853558,-25.57319515
2018,Cluj,346,492,838,668,324,290,614,540,481470,246636,705893,34.93957299,1.187148761,0.869820214,1.3874177,1.121565207,2.056968974,10852,12997,41926,3740,1397,2696,73608,14.74296272,17.65704815,56.95848277,5.08096946,1.897891534,3.662645365,44843,42946,336034,11749,3879,6110,4.13223369,3.304300993,8.014931069,3.14144385,2.776664281,2.266320475,361300,52400,14.50318295,5264,4295,1566,65,689,71.51396587,58.34963591,21.27486143,0.88305619,9.360395609,0.040688583,0.197970782,0.44168665,0.800405243,0.370187814,0.553497465,9.454943091,0.802303348,935.2921548,153.3252391,19.60763761
2019,Cluj,343,491,834,696,285,340,625,531,479900,247028,708510,34.86584522,1.177118178,0.882132927,1.450302146,1.106480517,2.059251104,11345,12937,41841,5102,1248,2087,74560,15.21593348,17.35112661,56.11722103,6.842811159,1.673819742,2.799087983,47064,42462,255113,15560,3731,3844,4.148435434,3.282213805,6.09720131,3.049784398,2.989583333,1.841878294,369000,51900,14.06504065,5260,3810,977,65,485,70.5472103,51.09978541,13.10354077,0.871781116,6.504828326,0.028823614,0.054560358,-0.324261008,0.136767826,-0.026027302,-0.021997321,9.581030922,0.12608783,780.377653,-154.9145018,-16.56322049
2020,Cluj,228,308,536,443,173,180,353,313,477779,249233,710367,35.0851039,0.754539555,0.496926237,0.92720693,0.655114603,1.251465792,11621,12926,42239,5548,1173,3126,76633,15.16448527,16.86740699,55.11855206,7.239700912,1.530672165,4.079182598,36158,34327,234627,13837,3330,5888,3.111436193,2.655655268,5.554747982,2.494051911,2.83887468,1.883557262,368800,50100,13.5845987,6573,3550,1326,31,491,85.7724479,46.32469041,17.30325056,0.404525466,6.407161406,0.215682607,-0.039896541,0.069403372,0.114069911,0.089814837,0.257704035,8.991720824,-0.589310097,963.4063598,183.0287067,23.45386314
2021,Cluj,435,496,931,756,283,300,583,492,461477,260469,696946,37.37290981,1.335828027,0.836506702,1.638218156,1.066141975,2.172334729,11835,8604,41857,5158,1559,1410,70423,16.80558908,12.21759936,59.43654772,7.32431166,2.213765389,2.002186786,54540,33275,242928,13980,4833,3043,4.608365019,3.867387262,5.803760422,2.71035285,3.100064144,2.158156028,346100,24700,7.136665704,6796,3843,1493,27,487,96.50256308,54.57023984,21.20046008,0.38339747,6.915354359,0.347373066,0.123209959,0.434712558,0.232174591,0.284367543,0.501074311,8.103779751,-0.887941074,930.4652784,-32.9410814,-3.41923022
2022,Cluj,583,671,1254,996,299,393,692,571,447473,271362,686043,39.55466348,1.827873763,1.008683129,2.22583262,1.276054645,2.836556892,12084,8374,41446,6334,1851,1642,71731,16.84627288,11.67417156,57.77976049,8.830212879,2.580474272,2.289107917,52649,29838,172859,13515,5535,2926,4.356918239,3.563171722,4.170704049,2.133722766,2.990275527,1.781973203,357000,25000,7.00280112,7483,4489,1678,40,610,104.3203078,62.58103191,23.39295423,0.557638957,8.503994089,0.443320068,0.281672686,0.64022839,0.601376456,0.4916494,0.886120299,8.841350724,0.737570974,701.7090923,-228.7561861,-24.58513944
2012,Constanta,200,287,487,375,201,131,332,279,479957,214118,684222,31.29364446,0.711757295,0.485222632,0.781319993,0.581302075,1.196979928,179336,71790,58357,111214,7636,147,428480,41.85399552,16.75457431,13.61953883,25.9554705,1.782113518,0.034307319,544984,158724,83426,125186,12906,218,3.03889905,2.2109486,1.429579999,1.125631665,1.690151912,1.482993197,295000,65700,22.27118644,4308,3039,2453,223,833,10.05414488,7.092513069,5.724887976,0.520444361,1.944081404,-0.713606395,-0.815954359,-1.015907079,-0.923155477,-0.867155827,-1.035832142,12.87330914,1.307144618,630.7322332,148.3508111,30.75384006
2013,Constanta,248,320,568,448,108,99,207,182,478595,215660,684475,31.50735966,0.829833084,0.302421564,0.936073298,0.380279777,1.132254648,175762,63171,59752,100068,6983,17,405753,43.31748625,15.56883128,14.72620042,24.66229455,1.72099775,0.004189741,513406,169894,195555,149567,12010,21,2.921029574,2.689430277,3.27277748,1.494653636,1.719891164,1.235294118,295100,62700,21.2470349,4202,3039,2456,223,841,10.35605405,7.489778264,6.05294354,0.549595444,2.072689543,-0.709901071,-0.808095994,-0.985156433,-0.893266784,-0.84910507,-1.017153637,12.98702671,0.113717561,547.9684819,-82.76375137,-13.12185219
2014,Constanta,171,273,444,381,122,125,247,211,474691,216675,683912,31.68170759,0.649206331,0.361157576,0.802627393,0.444499685,1.010363906,178379,65789,62760,89884,32655,17,429484,41.53332837,15.31814922,14.6128843,20.92836986,7.603310019,0.003958238,584832,200678,224359,164826,70776,18,3.278592211,3.050327562,3.57487253,1.833763517,2.167386311,1.058823529,291600,61400,21.05624143,4188,3104,2463,223,840,9.751236367,7.227277384,5.734788723,0.519227724,1.955835375,-0.717323984,-0.813288565,-1.014979022,-0.920423839,-0.866503853,-1.046559884,12.63768806,-0.349338645,831.4127086,283.4442267,51.72637407
2015,Constanta,222,305,527,446,116,110,226,190,468912,217427,682285,31.86747474,0.772404494,0.331239878,0.951137953,0.405193299,1.103644371,177077,60048,59839,95124,38094,385,430567,41.12646812,13.94626156,13.89772091,22.09272889,8.84740354,0.089416978,670293,217714,173192,151939,87667,497,3.785319381,3.625666134,2.894299704,1.597273033,2.301333543,1.290909091,289200,53600,18.53388658,3288,3140,2453,223,825,7.63644218,7.292709381,5.697138889,0.517921717,1.916078102,-0.743278805,-0.811994245,-1.01850817,-0.929663479,-0.875861175,-1.064615372,12.79519019,0.157502127,617.0104709,-214.4022377,-25.78770272
2016,Constanta,371,481,852,735,113,121,234,191,463002,218314,679782,32.11529579,1.253342983,0.344228003,1.587466145,0.412525216,1.597570986,185598,63921,61521,76854,44509,180,432583,42.90459866,14.77658623,14.2217794,17.7663015,10.28912371,0.041610512,743847,255871,196321,115414,102058,229,4.007839524,4.002925486,3.191121731,1.501730554,2.292974455,1.272222222,286200,46400,16.21243885,3328,3152,2464,226,835,7.693321282,7.286462945,5.696016718,0.522443092,1.930265406,-0.742580729,-0.812117806,-1.018613358,-0.926366332,-0.874919556,-1.059556564,12.61768303,-0.177507155,597.8181359,-19.19233498,-3.11053635
2017,Constanta,371,512,883,750,134,146,280,234,456880,219013,677303,32.33604458,1.303700116,0.41340434,1.641568902,0.512169497,1.717104457,175969,65088,58045,81318,44267,1259,425946,41.31251379,15.28081024,13.62731426,19.0911524,10.39263193,0.295577374,952479,272190,335854,258610,97882,2838,5.412765885,4.181876844,5.786096994,3.180230699,2.211173109,2.254169976,284300,46600,16.39113612,3378,3114,2449,226,859,7.93058275,7.310785874,5.749555108,0.530583689,2.016687561,-0.739668824,-0.811636671,-1.013594879,-0.906281715,-0.867795522,-1.041066973,12.13515963,-0.482523399,564.4900601,-33.32807584,-5.574952287
2018,Constanta,448,615,1063,864,157,189,346,273,451065,219298,675030,32.48714872,1.574744826,0.512569812,1.915466729,0.605234279,2.087314638,179309,64114,56269,79822,44781,594,424889,42.20137495,15.0895881,13.24322352,18.78655366,10.53945854,0.139801219,1017944,305018,457152,296518,102463,1353,5.677037962,4.757432074,8.124402424,3.714740297,2.288090931,2.277777778,284400,47400,16.66666667,3245,3121,2457,215,861,7.637288798,7.34544787,5.782686772,0.506014512,2.026411604,-0.743268414,-0.810951016,-1.010489246,-0.904021835,-0.867182628,-1.041513114,12.47508194,0.33992231,615.5507978,51.06073775,9.045462686
2019,Constanta,418,546,964,789,176,208,384,324,446071,219180,673211,32.55740028,1.431943328,0.570400662,1.768776719,0.726341771,2.00234399,181623,68823,63499,86828,25205,925,426903,42.54432506,16.12146085,14.87433914,20.33904657,5.904151529,0.216676856,862386,302735,357400,230976,53577,1641,4.748220214,4.398747512,5.628435093,2.66015571,2.125649673,1.774054054,287200,47200,16.43454039,3134,3121,2465,216,848,7.341246138,7.310794255,5.774145415,0.50596974,1.986399721,-0.746901739,-0.811636505,-1.011289879,-0.913320647,-0.870787193,-1.049548886,13.54300138,1.067919438,402.2710505,-213.2797474,-34.64860221
