an,judet,emig_masc_nr,emig_fem_nr,emigranti_total_nr,emig_15_64_nr,imig_masc_nr,imig_fem_nr,imigranti_total_nr,imigranti_15_64_nr,populatie_15_64,populatie_rurala,populatie_totala,pondere_rurala,rata_emig_def,rata_imig_def,rata_emig_15_64,rata_imig_15_64,intensitate_migratie,sup_grau_ha,sup_orz_orzoaica_ha,sup_porumb_boabe_ha,sup_floarea_soarelui_ha,sup_rapita_ha,sup_soia_boabe_ha,sup_totala_cultivata_ha,pondere_grau,pondere_orz_orzoaica,pondere_porumb_boabe,pondere_floarea_soarelui,pondere_rapita,pondere_soia_boabe,prod_grau_tone,prod_orz_orzoaica_tone,prod_porumb_boabe_tone,prod_floarea_soarelui_tone,prod_rapita_tone,prod_soia_boabe_tone,yield_grau,yield_orz_orzoaica,yield_porumb_boabe,yield_floarea_soarelui,yield_rapita,yield_soia_boabe,ocupati_total_nr,ocupati_agri_nr,pondere_ocupati_agri,temperatura_medie_anuala_C,precipitatii_anuale_mm,tractoare_nr,pluguri_nr,semanatori_mecanice_nr,masini_stropit_prafuit_mecanice_nr,combine_cereale_nr,tractoare_1000ha,pluguri_1000ha,semanatori_1000ha,masini_stropit_1000ha,combine_1000ha
2017,Valcea,93,135,228,199,54,46,100,90,227263,196752,355002,55.42278635,0.642249903,0.281688554,0.875637477,0.39601695,0.923938457,10236,412,39788,1171,751,30,52388,19.53882569,0.786439643,75.94869054,2.235244713,1.433534397,0.057265023,41233,1630,245578,3158,1951,60,4.028233685,3.95631068,6.172162461,2.696840307,2.597869507,2,153400,40300,26.27118644,9.057485516,942.6240959,4718,2849,1487,12,353,90.05879209,54.38268306,28.38436283,0.22906009,6.738184317
2018,Valcea,100,146,246,215,42,71,113,90,222999,194282,351727,55.23658974,0.699406073,0.321271896,0.964129884,0.403589254,1.020677969,10281,395,42100,1531,751,0,55058,18.67303571,0.717425261,76.46481892,2.780703985,1.364016128,0,38955,1541,288765,4501,1953,0,3.789028305,3.901265823,6.859026128,2.939908556,2.600532623,,154600,40800,26.39068564,9.349296656,1035.705725,5040,3001,1323,8,317,91.53983072,54.50615714,24.02920557,0.145301319,5.75756475
2019,Valcea,114,158,272,231,51,58,109,97,219269,192353,349389,55.05410874,0.778501899,0.311973187,1.053500495,0.442378996,1.090475087,9961,430,41981,1550,751,0,54673,18.2192307,0.786494248,76.7856163,2.835037404,1.373621349,0,47750,1693,261392,5114,1802,0,4.793695412,3.937209302,6.226435769,3.299354839,2.399467377,,156700,40300,25.71793235,9.795272999,970.5139483,5486,3302,1202,6,308,100.3420335,60.39544199,21.98525781,0.109743383,5.633493681
2020,Valcea,81,104,185,160,28,34,62,53,215966,192002,347370,55.27305179,0.532573337,0.178484037,0.740857357,0.245409,0.711057374,9112,415,42027,1556,751,0,53861,16.91762128,0.770501847,78.02862925,2.88891777,1.394329849,0,32733,1561,173424,3442,1727,0,3.592295874,3.761445783,4.126490113,2.212082262,2.299600533,,156300,39100,25.01599488,9.736912417,989.660795,5470,3233,1240,3,315,101.5577134,60.02487885,23.02222387,0.055698929,5.848387516
2021,Valcea,151,171,322,280,48,56,104,93,216167,190408,343932,55.36210646,0.936231581,0.302385355,1.295294841,0.430222929,1.238616936,8704,402,41458,1132,148,2,51846,16.78818038,0.775373221,79.96373876,2.183389268,0.285460788,0.003857578,34199,1520,170798,2778,146,3,3.929113051,3.781094527,4.119783878,2.454063604,0.986486486,1.5,134200,19100,14.23248882,8.767975196,989.8669282,5912,3279,1198,3,306,114.030012,63.24499479,23.10689349,0.057863673,5.902094665
2022,Valcea,185,239,424,368,47,58,105,95,217244,187997,341376,55.0703623,1.242032246,0.30757874,1.693947819,0.437296312,1.549610986,7975,695,40411,1170,379,0,50630,15.75153071,1.37270393,79.81631444,2.310882876,0.748568043,0,25812,2563,149291,2237,428,0,3.23661442,3.687769784,3.694315904,1.911965812,1.129287599,,138400,19500,14.08959538,9.413766239,746.916838,6486,3524,1260,3,362,128.1058661,69.60300217,24.88643097,0.059253407,7.14991112
2012,Vaslui,101,138,239,179,1793,1008,2801,2761,248470,240243,392306,61.23867593,0.609218314,7.139834721,0.720408902,11.11200547,7.749053035,74566,3642,111909,62674,2390,107,255288,29.20858011,1.426624048,43.83637304,24.5503118,0.936197549,0.041913447,148100,5275,136153,70534,3253,148,1.986159912,1.448380011,1.216640306,1.125410856,1.361087866,1.38317757,142800,70600,49.43977591,10.96403246,581.5384678,3543,2944,1541,62,523,13.87844317,11.53207358,6.036319764,0.242862963,2.048666604
2013,Vaslui,114,184,298,238,3130,2309,5439,5397,248460,238037,390174,61.00790929,0.763761809,13.93993449,0.957900668,21.72180633,14.7036963,45496,4461,79161,30741,6725,50,166634,27.30295138,2.677124716,47.50591116,18.44821585,4.035791015,0.030005881,147416,9098,266915,56897,13158,61,3.24019694,2.039453037,3.371799245,1.850850655,1.956579926,1.22,139100,67000,48.16678648,10.92322326,681.0852515,3543,2904,1547,62,524,21.26216738,17.42741577,9.283819629,0.372072926,3.144616345
2014,Vaslui,111,149,260,199,4107,3377,7484,7399,248238,235798,389992,60.46226589,0.666680342,19.19013723,0.801650029,29.8060732,19.85681758,44591,6081,80055,32719,11196,122,174764,25.5149802,3.479549564,45.80748896,18.72181914,6.406353711,0.069808427,148776,16027,332325,63263,30484,196,3.33645803,2.635586252,4.151208544,1.933524863,2.722758128,1.606557377,135200,64700,47.85502959,10.76915269,653.1919852,3556,2906,1621,69,521,20.34743998,16.62813852,9.275365636,0.394818155,2.981163169
2015,Vaslui,141,170,311,254,2073,1433,3506,3402,246361,233142,388872,59.95340369,0.799749018,9.015820116,1.031007343,13.80900386,9.815569133,51409,5847,92664,41077,2812,391,194200,26.47219361,3.010813594,47.71575695,21.15190525,1.447991761,0.201338826,143977,11334,245338,59835,4972,369,2.800618569,1.938429964,2.647608564,1.456654576,1.768136558,0.943734015,130300,56300,43.20798158,11.70523174,497.3016723,3564,2906,1621,69,521,18.35221421,14.96395469,8.347064882,0.355303811,2.682801236
2016,Vaslui,233,294,527,455,3535,2378,5913,5709,243245,230304,385828,59.6908467,1.365893611,15.32548182,1.870542046,23.47016383,16.69137543,45675,5564,92197,44440,8541,933,197350,23.14416012,2.819356473,46.71750697,22.51836838,4.327843932,0.472764125,167527,14434,235456,54159,19761,892,3.667805145,2.594176851,2.553835808,1.21869937,2.313663505,0.956055734,123000,48400,39.3495935,11.29248527,703.2655068,3690,3027,1664,66,450,18.69774512,15.33823157,8.431720294,0.334431214,2.28021282
2017,Vaslui,239,305,544,435,5354,4169,9523,9002,239737,226882,382062,59.38355555,1.423852673,24.92527391,1.814488377,37.54948131,26.34912658,35126,6574,79357,38013,13850,712,173632,20.23014191,3.786168448,45.70413288,21.89285385,7.976640251,0.410062661,142353,18040,417976,122156,31185,956,4.052639071,2.744143596,5.267033784,3.213532213,2.251624549,1.342696629,123400,48800,39.54619125,10.82626789,602.9187973,3796,3076,1701,82,480,21.86232952,17.71562846,9.796581275,0.472263177,2.764467379
2018,Vaslui,352,403,755,604,6213,4743,10956,10088,235606,222900,377245,59.0862702,2.001351907,29.04213442,2.563601946,42.81724574,31.04348633,37066,6218,82162,37941,15382,342,179111,20.69442971,3.471590243,45.87211282,21.18295359,8.587970588,0.190943046,139820,20218,504729,148580,25520,522,3.772190147,3.251527822,6.143095348,3.91608023,1.659082044,1.526315789,123100,49400,40.12997563,10.93093838,552.2535026,3794,3121,1744,82,476,21.18239527,17.42494877,9.736978745,0.457816661,2.657569887
